iter	Passed	Remaining
0	257	257661
1	259	129658
2	264	87948
3	268	66795
4	270	53733
5	271	45023
6	273	38800
7	278	34522
8	280	30843
9	281	27891
10	283	25469
11	285	23467
12	286	21769
13	288	20303
14	291	19150
15	293	18029
16	294	17054
17	296	16183
18	298	15421
19	301	14775
20	305	14236
21	307	13668
22	309	13165
23	312	12703
24	314	12268
25	316	11869
26	321	11571
27	323	11218
28	325	10898
29	327	10597
30	330	10316
31	332	10063
32	337	9886
33	339	9653
34	341	9422
35	344	9221
36	346	9022
37	351	8893
38	354	8742
39	357	8571
40	359	8409
41	361	8254
42	366	8160
43	369	8018
44	371	7879
45	374	7759
46	377	7657
47	384	7620
48	387	7522
49	389	7408
50	394	7331
51	396	7222
52	398	7111
53	399	7003
54	401	6901
55	403	6809
56	406	6719
57	408	6633
58	410	6551
59	412	6468
60	415	6390
61	417	6323
62	422	6280
63	424	6204
64	426	6131
65	428	6066
66	430	5995
67	432	5926
68	434	5864
69	439	5834
70	441	5778
71	443	5721
72	446	5666
73	448	5615
74	453	5596
75	456	5545
76	458	5496
77	461	5449
78	468	5462
79	470	5416
80	473	5370
81	476	5336
82	477	5276
83	483	5275
84	492	5302
85	495	5261
86	499	5246
87	501	5202
88	507	5197
89	510	5157
90	514	5137
91	516	5101
92	519	5069
93	522	5033
94	524	4994
95	526	4957
96	534	4973
97	546	5026
98	548	4991
99	551	4965
100	554	4933
101	556	4897
102	558	4867
103	561	4833
104	576	4915
105	579	4884
106	585	4882
107	588	4858
108	599	4900
109	601	4869
110	606	4858
111	609	4828
112	611	4803
113	614	4776
114	617	4748
115	619	4719
116	623	4703
117	625	4672
118	627	4647
119	630	4623
120	633	4600
121	638	4593
122	640	4566
123	642	4540
124	645	4516
125	647	4494
126	649	4466
127	652	4447
128	654	4421
129	656	4395
130	659	4374
131	661	4351
132	666	4341
133	668	4317
134	670	4293
135	671	4268
136	673	4245
137	676	4225
138	679	4211
139	682	4191
140	684	4169
141	686	4146
142	688	4126
143	690	4107
144	695	4103
145	698	4086
146	700	4064
147	702	4042
148	722	4127
149	724	4106
150	726	4085
151	728	4066
152	731	4047
153	733	4026
154	736	4016
155	739	4001
156	741	3982
157	743	3961
158	745	3942
159	747	3923
160	748	3899
161	751	3888
162	754	3872
163	756	3856
164	758	3840
165	761	3823
166	763	3806
167	817	4050
168	819	4031
169	822	4014
170	824	3996
171	826	3978
172	828	3961
173	833	3954
174	835	3937
175	837	3921
176	839	3904
177	842	3891
178	852	3912
179	855	3897
180	857	3880
181	933	4193
182	935	4174
183	936	4155
184	941	4146
185	946	4140
186	949	4130
187	954	4122
188	956	4105
189	966	4120
190	968	4101
191	970	4083
192	980	4100
193	982	4083
194	988	4078
195	994	4077
196	996	4061
197	999	4048
198	1001	4032
199	1004	4016
200	1023	4067
201	1025	4051
202	1027	4035
203	1030	4019
204	1032	4003
205	1035	3991
206	1041	3991
207	1052	4005
208	1056	3999
209	1059	3985
210	1076	4026
211	1081	4021
212	1084	4006
213	1092	4011
214	1108	4048
215	1112	4036
216	1118	4034
217	1120	4018
218	1122	4002
219	1125	3989
220	1129	3980
221	1131	3965
222	1133	3950
223	1140	3952
224	1143	3938
225	1146	3926
226	1155	3933
227	1157	3919
228	1161	3909
229	1163	3894
230	1167	3887
231	1170	3874
232	1172	3859
233	1174	3843
234	1176	3828
235	1182	3828
236	1185	3815
237	1187	3801
238	1189	3788
239	1205	3816
240	1207	3802
241	1212	3796
242	1214	3782
243	1216	3770
244	1220	3760
245	1223	3751
246	1226	3738
247	1228	3724
248	1230	3711
249	1232	3698
250	1234	3685
251	1272	3775
252	1275	3765
253	1278	3754
254	1281	3742
255	1284	3731
256	1290	3731
257	1293	3719
258	1295	3707
259	1298	3696
260	1302	3688
261	1304	3675
262	1319	3698
263	1322	3686
264	1324	3673
265	1326	3661
266	1329	3651
267	1334	3644
268	1337	3633
269	1339	3621
270	1342	3610
271	1344	3597
272	1346	3586
273	1349	3576
274	1352	3564
275	1372	3601
276	1375	3591
277	1381	3587
278	1384	3576
279	1386	3564
280	1388	3553
281	1392	3544
282	1396	3537
283	1400	3529
284	1402	3517
285	1404	3507
286	1407	3496
287	1414	3496
288	1418	3489
289	1423	3484
290	1427	3477
291	1429	3466
292	1432	3455
293	1434	3444
294	1437	3434
295	1441	3428
296	1443	3417
297	1445	3405
298	1447	3394
299	1450	3384
300	1454	3378
301	1457	3369
302	1460	3359
303	1467	3358
304	1471	3352
305	1473	3341
306	1475	3330
307	1490	3348
308	1493	3339
309	1495	3329
310	1497	3318
311	1501	3311
312	1505	3304
313	1509	3298
314	1512	3290
315	1516	3283
316	1521	3278
317	1524	3268
318	1526	3258
319	1543	3279
320	1551	3280
321	1553	3271
322	1558	3266
323	1566	3267
324	1570	3261
325	1579	3265
326	1582	3256
327	1584	3245
328	1587	3237
329	1589	3227
330	1597	3228
331	1599	3219
332	1602	3209
333	1625	3241
334	1627	3231
335	1629	3221
336	1632	3211
337	1636	3205
338	1643	3205
339	1646	3195
340	1648	3186
341	1660	3194
342	1663	3185
343	1675	3194
344	1677	3184
345	1679	3174
346	1686	3174
347	1688	3163
348	1691	3155
349	1693	3145
350	1695	3135
351	1699	3128
352	1702	3119
353	1704	3110
354	1708	3103
355	1710	3094
356	1716	3091
357	1719	3084
358	1722	3075
359	1748	3107
360	1750	3098
361	1752	3088
362	1755	3079
363	1762	3079
364	1765	3071
365	1769	3064
366	1773	3058
367	1780	3057
368	1783	3049
369	1785	3039
370	1787	3030
371	1836	3100
372	1843	3098
373	1846	3090
374	1848	3081
375	1851	3072
376	1860	3075
377	1863	3066
378	1866	3057
379	1868	3048
380	1870	3039
381	1874	3033
382	1883	3034
383	1885	3024
384	1887	3015
385	1889	3006
386	1893	2998
387	1905	3006
388	1912	3003
389	1914	2994
390	1919	2990
391	1922	2981
392	1929	2980
393	1932	2971
394	1934	2962
395	1936	2953
396	1947	2958
397	1951	2952
398	1954	2943
399	1963	2945
400	1966	2936
401	1967	2927
402	2000	2964
403	2004	2956
404	2009	2952
405	2015	2948
406	2017	2939
407	2026	2939
408	2029	2933
409	2034	2927
410	2050	2938
411	2056	2935
412	2058	2926
413	2078	2942
414	2081	2934
415	2088	2931
416	2091	2924
417	2093	2915
418	2104	2917
419	2106	2908
420	2108	2900
421	2111	2891
422	2113	2882
423	2118	2877
424	2132	2885
425	2136	2878
426	2138	2870
427	2140	2861
428	2142	2852
429	2145	2843
430	2150	2839
431	2153	2831
432	2155	2822
433	2158	2814
434	2163	2810
435	2165	2801
436	2167	2792
437	2169	2784
438	2171	2775
439	2173	2766
440	2178	2761
441	2181	2753
442	2183	2745
443	2186	2737
444	2188	2729
445	2190	2721
446	2193	2713
447	2195	2705
448	2197	2696
449	2199	2688
450	2201	2680
451	2204	2672
452	2209	2667
453	2211	2659
454	2214	2651
455	2216	2644
456	2221	2639
457	2223	2631
458	2226	2623
459	2228	2615
460	2230	2607
461	2236	2604
462	2239	2596
463	2241	2589
464	2243	2581
465	2246	2573
466	2250	2568
467	2252	2560
468	2254	2552
469	2257	2545
470	2259	2537
471	2266	2535
472	2269	2528
473	2271	2521
